DateTime,heii_qu,heii_qd,heni_qu,isli_qu
11/17/1980,2825.07,1970,16,429.21
11/18/1980,2759.53,1970,67.42,784.54
11/19/1980,2825.57,1970,18,553.29
11/20/1980,3301.83,1870,68.42,508.14
11/21/1980,2744.3,1680,17,159
11/22/1980,3095.11,1630,17,485.47
11/23/1980,3194.34,1580,17,557.77
11/24/1980,2766.89,1510,17,1086.65
11/25/1980,2911.42,1530,16,369.44
11/26/1980,2726.47,1520,67.42,468.33
11/27/1980,3008.81,1520,67.42,1.07
11/28/1980,2771.26,1530,17,827.98
11/29/1980,3088.71,1490,18,58.17
11/30/1980,3252.98,1380,17,507.35
12/1/1980,3478.93,1310,17,475.94
12/2/1980,3776.55,1290,67.42,626.99
12/3/1980,2963.41,1280,117.83,903.13
12/4/1980,4492.55,1280,219.67,838.33
12/5/1980,3414.22,1270,68.42,574.19
12/6/1980,3181.38,1260,68.42,501.83
12/7/1980,2991.31,1260,17,448.9
12/8/1980,2569.57,1230,18,429.79
12/9/1980,2659.82,1230,19,465.61
12/10/1980,2821.68,1220,18,400.17
12/11/1980,3289.52,1230,18,571.55
12/12/1980,2659.4,1220,68.42,249.51
12/13/1980,1256.3,1220,18,453.42
12/14/1980,2811.13,1230,68.42,516.4
12/15/1980,2809.13,1220,20,432.46
12/16/1980,3074.83,1220,22,504.54
12/17/1980,2678.05,1220,21,370.19
12/18/1980,2929.13,1220,21,503.79
12/19/1980,2667.55,1210,20,677.73
12/20/1980,2589.32,1220,69.42,526.48
12/21/1980,2951.31,1220,70.42,523.96
12/22/1980,3158.86,1240,21,357.58
12/23/1980,3051.05,1230,71.42,507.5
12/24/1980,3175.66,1220,20,458.58
12/25/1980,3858.57,1370,70.42,570.5
12/26/1980,4064.28,1490,70.42,570
12/27/1980,3866.63,1310,24,520.09
12/28/1980,3245.66,1290,24,524.58
12/29/1980,3012.06,1250,22,530.09
12/30/1980,2597.22,1240,21,529.58
12/31/1980,2637.13,1230,21,525.09
1/1/1981,2601.33,1230,24,438.88
1/2/1981,2901.9,1220,73.42,454.5
1/3/1981,2755.19,1220,73.42,559.37
1/4/1981,2785.19,1250,23,509.46
1/5/1981,2836.36,1220,22,509.46
1/6/1981,3010.63,1240,22,406.1
1/7/1981,4532,1250,22,474.17
1/8/1981,1850.52,1220,21,511.98
1/9/1981,2705.7,1230,21,441.4
1/10/1981,2637.63,1230,22,433.88
1/11/1981,2410.84,1220,22,471.69
1/12/1981,2634.19,1220,23,436.4
1/13/1981,2410.34,1220,23,365.34
1/14/1981,2209.24,1220,23,361.31
1/15/1981,2568.65,1220,24,605.83
1/16/1981,2256.06,1220,24,394.58
1/17/1981,2571.17,1220,25,432.4
1/18/1981,2571.17,1220,26,432.4
1/19/1981,2525.79,1220,25,467.69
1/20/1981,2776.89,1240,24,429.92
1/21/1981,2455.55,1240,24,500.5
1/22/1981,2444.54,1230,25,442.48
1/23/1981,2536.67,1230,25,463.65
1/24/1981,2780.15,1250,76.42,514.58
1/25/1981,2474.12,1250,26,470.21
1/26/1981,2381.01,1230,75.42,520.63
1/27/1981,3680.92,1180,26,508.02
1/28/1981,2756.49,1230,77.42,520.63
1/29/1981,3459.47,1240,-22.42,495.42
1/30/1981,2619.21,1240,80.42,515.63
1/31/1981,2688.37,1230,79.42,518.15
2/1/1981,2647.15,1230,29,471.76
2/2/1981,2286.73,1230,28,472.27
2/3/1981,2489.81,1220,27,472.27
2/4/1981,2094.77,1260,27,472.27
2/5/1981,2148.62,1310,27,472.27
2/6/1981,2870.94,1290,28,472.27
2/7/1981,2084.84,1220,28,472.27
2/8/1981,2444.5,1220,28,468.27
2/9/1981,2369.56,1220,27,468.27
2/10/1981,2127.63,1280,25,468.27
2/11/1981,2241.75,1780,27,468.27
2/12/1981,4291.88,1320,28,468.27
2/13/1981,2634.9,1240,30,468.27
2/14/1981,2616.78,1260,81.42,518.68
2/15/1981,2376.98,1260,30,468.27
2/16/1981,2736.52,1260,81.42,518.68
2/17/1981,1967.59,1420,31,468.27
2/18/1981,3867.26,1370,81.42,513.68
2/19/1981,2607.22,1620,132.83,564.1
2/20/1981,4352.15,1680,31,463.21
2/21/1981,2940.69,1330,30,310
2/22/1981,2873.53,1290,-19.42,335.33
2/23/1981,2707.67,1280,31,461.5
2/24/1981,3020.2,1310,32,428.62
2/25/1981,1848.75,1320,31,580.19
2/26/1981,2848.68,1330,82.42,478.85
2/27/1981,2747.88,1310,-18.42,340.21
2/28/1981,2441.85,1280,32,378.6
3/1/1981,2668.24,1270,31,422.97
3/2/1981,2493.51,1290,31,381.82
3/3/1981,2706.37,1300,31,419.75
3/4/1981,1383.94,1270,31,434.56
3/5/1981,2816.93,1290,31,434.56
3/6/1981,1666.59,1270,32,434.56
3/7/1981,3603.79,1270,31,434.56
3/8/1981,2629.02,1280,31,435.14
3/9/1981,2190.53,1280,31,384.75
3/10/1981,3010.4,1260,32,420.32
3/11/1981,2433.43,1270,33,339.59
3/12/1981,2818.57,1260,33,380.04
3/13/1981,2623.58,1260,33,306
3/14/1981,2597.47,1270,33,425.77
3/15/1981,2637.55,1270,33,353.74
3/16/1981,2879.43,1270,21,394.34
3/17/1981,2721.69,1270,10,433.3
3/18/1981,2693.07,1240,60.42,445.06
3/19/1981,2616.44,1240,10,319
3/20/1981,2755.8,1260,10,944.86
3/21/1981,2974.21,1270,60.42,464.66
3/22/1981,3346.72,1240,10,319.75
3/23/1981,2336.44,1240,10,342.5
3/24/1981,2602.29,1410,11,392.1
3/25/1981,2383.22,1820,12,269.11
3/26/1981,2863.32,2590,63.42,380.01
3/27/1981,3250.17,2610,68.42,404.03
3/28/1981,3319.26,2630,27,294.29
3/29/1981,2948.72,2620,86.42,374.07
3/30/1981,3966.57,2090,34,375.99
3/31/1981,2581.82,1590,83.42,330.43
4/1/1981,3072.81,1810,86.42,481.67
4/2/1981,3361.98,1860,39,423
4/3/1981,2947.97,2090,138.83,537.94
4/4/1981,2737.3,2550,-15.42,362.34
4/5/1981,2827.78,2590,83.42,403.66
4/6/1981,2773.11,2450,33,918.31
4/7/1981,2759.07,2440,35,388
4/8/1981,2712.54,2390,84.42,415.81
4/9/1981,2991.68,2350,83.42,439.42
4/10/1981,3114.86,2270,-18.42,342.58
4/11/1981,2671.63,2180,82.42,503.01
4/12/1981,2942.04,2310,43,372.01
4/13/1981,3072.23,2470,74,504.63
4/14/1981,2897.84,2660,275.67,606.65
4/15/1981,3505.9,3110,199.25,725.57
4/16/1981,2832.16,3320,73.42,666.86
4/17/1981,3979.77,3350,233.67,745.67
4/18/1981,4207.09,3410,182.25,817.12
4/19/1981,4374.15,3910,178.25,1121.17
4/20/1981,6398.63,3570,123.83,1420.5
4/21/1981,7199.47,6500,131.83,1503.36
4/22/1981,6250.88,7460,79.42,1660.42
4/23/1981,6593.03,5440,96.42,2083.04
4/24/1981,6257.13,4880,80.42,1552.51
4/25/1981,6239.87,4630,78.42,1636.55
