DateTime,jck_af,pal_af,rir_af,grs_af,isl_af,amf_af,min_af,hen_af
11/16/1980,531900,837805,36952,11909,80135,852870,78800,83600
11/17/1980,531900,839501,36640,11912,80665,862300,76890,83600
11/18/1980,531900,841067,36721.23,11916,81799.78,869276,74628.36,83700
11/19/1980,532130,842764,36803.13,11919,82575.9,877063.38,72711.64,83700
11/20/1980,532130,845374,36885.21,11923,83164.44,883609.63,70614.07,83800
11/21/1980,532130,847485,36988.1,11926,83164.44,891817.44,68308.7,83800
11/22/1980,532690,850391,37091.21,11930,83810,899773,66220,83800
11/23/1980,533070,853033,37194.15,11934,84595,910295,64580,83800
11/24/1980,533300,855146,37297.9,11937,86429.02,914925,62046.67,83800
11/25/1980,533300,857656,37360.27,11940,86840.48,925025.75,61064.59,83800
11/26/1980,533530,860049,37401.91,11944,87342.13,933451.75,60097.87,83900
11/27/1980,533770,862772,37506.25,11947,86915,941597,57190,84000
11/28/1980,534000,864994,37589.86,11951,88235.95,948943.13,54822.95,84000
11/29/1980,534240,867935,37673.7,11954,88030,956717,52680,84000
11/30/1980,535170,871410,37820.39,11958,88715,964494,50310,84000
12/1/1980,535640,874782,37841.46,11958,89337.7,969246,47460,84000
12/2/1980,535870,879244,37673.7,11959,90160,981856,45980,84100
12/3/1980,538450,882353,37757.25,11960,91430,991171,43550,84300
12/4/1980,539150,886145,37904.74,11961,92371.49,999599,41120,84700
12/5/1980,540090,889698,37968.13,11962,93095,1004035,40280,84800
12/6/1980,540790,892569,38095.25,11963,93675,1012019,39130,84900
12/7/1980,541260,895303,38158.95,11964,94250,1018299,38090,84900
12/8/1980,541490,897490,38222.22,11965,94781.15,1022665,37890,84900
12/9/1980,542594.81,900096,38307.46,11966,95375.42,1029488,38920,84900
12/10/1980,543779.81,902168,38350.2,11967,95839.88,1036323,38720,84900
12/11/1980,544009.88,905068,38435.73,11968,96644.27,1040880,38510,84900
12/12/1980,544009.88,907693,38520.46,11969,96709.91,1045892,38200,85000
12/13/1980,542660,907765,38602.46,11970,97280,1050448,38200,85000
12/14/1980,542890,912251,38664.1,11971,97875,1055461,38090,85100
12/15/1980,543360,915173,38725.8,11972,98403.52,1061385,38300,85100
12/16/1980,543600,918382,38807.73,11985,99075,1065486,38200,85100
12/17/1980,544060,921034,38890.35,11997,99480,1071017,38400,85100
12/18/1980,544300,923964,38973.15,12009,100150,1076637,38300,85100
12/19/1980,544060,926615,39056.08,12022,101165,1081321,38300,85100
12/20/1980,543830,929571,39118.45,12034,101780,1087409,38400,85200
12/21/1980,543830,933235,39243.4,12047,102390,1092561,38090,85300
12/22/1980,544060,937041,39347.35,12059,102770,1097713,38400,85300
12/23/1980,544530,940423,39410.18,12072,103151,1104738,37890,85400
12/24/1980,544770,943832,39515.07,12084,103531,1110826,37890,85400
12/25/1980,546176,948528,39725.72,12097,103912,1115509,37890,85500
12/26/1980,547110,952228,40085.81,12109,104292,1123694,37890,85600
12/27/1980,547110,956365,40427.69,12122,104673,1128027,38090,85600
