RiverWare Reach,IDWR Site Code,Diversion name,MODSIM Diversion Demand Group,Fractional Return,Average Annual Demand (acre-feet)
CXCI,13049560,CXCI,CXCI,,75161
Eagle_Rk,13037975,Eagle_Rk,Eagle_Rk,,198934
Fall_R_C,13049561,Fall_R_C,CXCI,0.22,30974
Reach10Diversions_BOI,13206090,NewDryCreek,NEagleIs,0.99,12620
Reach10Diversions_BOI,13206092,NewUnion,NEagleIs,0.99,1701
Reach10Diversions_BOI,13206096,Woods,NEagleIs,0.99,144
Reach10Diversions_BOI,13206205,Lemp,NEagleIs,0.99,985
Reach10Diversions_BOI,13206220,WarmSprings,NEagleIs,0.99,2192
Reach10Diversions_BOI,13206260,GrahamGilbert,NEagleIs,0.99,648
Reach10Diversions_BOI,13206265,Ballentyne,NEagleIs,0.99,4963
Reach10Diversions_BOI,13206270,ConwayHamming,NEagleIs,0.99,709
Reach10Diversions_BOI,13206274,EagleIslandPark,NEagleIs,0.99,48
Reach10Diversions_BOI,13206290,ThomasAiken,NEagleIs,0.99,848
Reach10Diversions_BOI,13206292,MaceCatlin,NEagleIs,0.99,1635
Reach10Diversions_BOI,13206295,MaceMace,NEagleIs,0.99,125
Reach10Diversions_BOI,13206308,Nagy,NEagleIs,0.99,3
Reach10Diversions_BOI,13208450,HartDavis,NEagleIs,0.99,2623
Reach10Diversions_BOI,13208710,Middleton,NEagleIs,0.99,41712
Reach10Diversions_BOI,13208738,Barber,NEagleIs,0.99,80
Reach10Diversions_BOI,13208740,SevenSuckers,NEagleIs,0.99,182
Reach10Diversions_BOI,13209480,Phyllis,Phyllis,0.34,111125
Reach10Diversions_BOI,13209482,Eureka1,Phyllis,0.34,8674
Reach10Diversions_BOI,13209630,LittlePioneer,NEagleIs,0.99,6623
Reach10Diversions_BOI,13209990,CanyonCounty,CanyonCn,0.99,20148
Reach10Diversions_BOI,13210005,CaldwellHighline,CaldwHig,0.34,12274
Reach10Diversions_BOI,13210012,Otter,NEagleIs,0.99,41
Reach10Diversions_PAY,13250427,Cooper,660_670,0.45,635
Reach10Diversions_PAY,13250506,UpperAcord,660_670,0.45,2331
Reach10Diversions_PAY,13250512,AcordPump4,660_670,0.45,634
Reach10Diversions_PAY,13250515,LowerAccord,660_670,0.45,5444
Reach10Diversions_PAY,13250518,NesbittMcFarlnd,660_670,0.45,3892
