DATE,ABERDEEN EXPERIMENT STATION ID US,ALTA 1 NNW WY US,ARCO ID US,ASHTON 1 N ID US,BLACKFOOT FIRE DEPARTMENT ID US,BURLEY ID US,BURLEY MUNICIPAL AIRPORT ID US,CASTLEFORD 2 N ID US,CRATERS OF THE MOON ID US,DRIGGS ID US,DUBOIS EXPERIMENT STATION ID US,FORT HALL 1 NNE ID US,GLENNS FERRY ID US,HAMER 4 NW ID US,HAZELTON ID US,HOWE ID US,IDAHO FALLS 16 SE ID US,IDAHO FALLS 46 W ID US,IDAHO FALLS FAA AIRPORT ID US,ISLAND PARK ID US,JEROME ID US,LAKEVIEW MT US,MASSACRE ROCKS STATE PARK ID US,MINIDOKA DAM ID US,MONTEVIEW ID US,PICABO ID US,POCATELLO REGIONAL AIRPORT ID US,RICHFIELD ID US,RUPERT 3 WSW ID US,SHOSHONE 1 WNW ID US,SWAN VALLEY ID US
1980-02-28,60.0,60.0,49.0,46.0,45.0,48.18582188140596,48.0,63.0,49.0,52.0,44.0,48.0,71.0,54.0,70.0,54.0,44.0,48.0,48.0,45.0,68.0,57.071685000151966,60.0,60.0,43.19703168595374,57.0,45.0,53.0,61.937621438202335,59.0,53.0
1980-02-29,47.0,40.0,44.0,45.0,49.0,51.19543982910137,51.0,54.0,41.0,43.0,44.0,50.0,58.0,49.0,53.0,54.0,40.0,47.0,45.0,42.0,51.0,37.56677859875185,53.0,51.0,43.19703168595374,45.0,44.0,49.0,49.59168772477844,51.0,42.0
1980-03-01,50.0,50.0,47.0,44.0,51.0,57.21467572449219,57.0,56.0,42.0,43.0,40.0,52.0,60.0,50.0,60.0,47.0,42.0,48.0,47.0,50.0,51.0,47.319231799451906,55.0,52.0,39.30395135621007,48.0,51.0,52.0,55.0,53.0,43.0
1980-03-02,51.0,48.0,45.0,39.0,44.0,50.192233846536226,50.0,54.0,38.0,39.0,35.0,43.0,55.0,48.0,55.0,47.0,38.0,37.0,42.0,35.0,56.0,45.368741159311895,53.0,49.0,34.437600944030486,47.0,45.0,50.0,53.3904365596781,51.0,41.0
1980-03-03,47.0,43.0,43.0,41.0,40.0,45.17620393371054,45.0,48.0,43.0,37.0,42.0,42.0,55.0,44.0,47.0,39.0,40.0,43.0,40.0,41.0,53.0,40.49251455896187,46.0,45.0,41.250491521081905,41.0,40.0,44.0,50.0,47.0,39.0
1980-03-04,42.0,39.0,46.0,44.0,45.0,51.19543982910137,51.0,53.0,39.0,39.0,42.0,50.0,57.0,52.0,44.0,44.0,41.0,48.0,47.0,39.0,47.0,36.591533278681844,52.0,50.0,41.250491521081905,43.0,47.0,48.0,45.0,50.0,46.0
1980-03-05,48.0,35.0,44.0,41.0,38.0,46.17940991627568,46.0,50.0,37.0,36.0,37.0,42.0,53.0,48.0,52.0,51.0,36.0,39.0,36.0,39.0,53.0,32.69055199840182,46.0,48.0,36.38414110890232,46.0,42.0,47.0,50.0,49.0,39.0
1980-03-06,40.0,38.0,45.0,37.0,43.0,47.182615898840815,47.0,48.0,39.0,40.0,36.0,47.0,54.0,46.0,48.0,45.0,38.0,45.0,45.0,35.0,50.0,35.61628795861184,49.0,46.0,35.4108710264664,38.0,43.0,45.0,44.0,47.0,42.0
1980-03-07,45.0,36.0,43.0,37.0,45.0,49.18902786397109,49.0,50.0,38.0,37.0,39.0,44.0,54.0,44.0,50.0,45.0,36.0,42.0,42.0,37.0,49.0,33.66579731847183,46.0,47.0,38.330681273774154,39.0,43.0,45.0,48.0,47.0,38.0
1980-03-08,44.0,36.0,43.0,38.0,45.0,49.18902786397109,49.0,52.0,37.0,35.0,39.0,45.0,57.0,45.0,47.0,44.0,38.0,44.0,43.0,40.0,50.0,33.66579731847183,51.14912723275767,50.0,38.330681273774154,41.0,42.0,46.0,50.0,48.0,39.0
