DATE,ABERDEEN EXPERIMENT STATION ID US,ALTA 1 NNW WY US,ASHTON 1 N ID US,BURLEY ID US,BURLEY MUNICIPAL AIRPORT ID US,CASTLEFORD 2 N ID US,CRATERS OF THE MOON ID US,DRIGGS ID US,DUBOIS EXPERIMENT STATION ID US,FORT HALL 1 NNE ID US,GLENNS FERRY ID US,IDAHO FALLS 16 SE ID US,IDAHO FALLS 46 W ID US,IDAHO FALLS FAA AIRPORT ID US,KETCHUM RANGER STATION ID US,MASSACRE ROCKS STATE PARK ID US,MINIDOKA DAM ID US,POCATELLO REGIONAL AIRPORT ID US,REXBURG BYU IDAHO ID US,RICHFIELD ID US,SAINT ANTHONY ID US,SHOSHONE 1 WNW ID US,SUGAR CITY ID US,SWAN VALLEY ID US,TETONIA EXPERIMENT STATION ID US
1980-02-28,32.0,24.0,26.0,33.00362251225148,33.0,34.0,30.0,22.0,30.0,29.0,40.0,29.0,26.0,30.0,22.0,34.0,33.0,30.0,26.0,33.0,26.46545202653171,34.0,24.526671316779314,36.0,29.0
1980-02-29,31.0,28.0,30.0,30.999907805163474,31.0,34.0,25.0,22.0,29.0,32.0,36.0,27.0,27.0,32.0,25.0,34.0,32.0,33.0,30.0,29.0,26.46545202653171,30.0,28.607268519971342,31.0,29.0
1980-03-01,26.0,20.0,21.0,24.988763683899453,25.0,26.0,18.0,18.0,20.0,26.0,27.0,16.0,21.0,27.0,12.0,22.0,26.0,28.0,24.0,25.0,23.0,29.0,22.4863727151833,19.0,15.0
1980-03-02,28.0,18.0,21.0,32.00176515870748,32.0,40.0,25.0,20.0,25.0,32.0,34.0,24.0,24.0,28.0,14.0,38.0,34.0,32.0,25.0,33.0,22.0,36.0,23.506522015981307,26.0,19.0
1980-03-03,33.0,26.0,32.0,38.012909279971495,38.0,37.0,29.0,28.0,31.0,33.0,41.0,28.0,32.0,31.0,22.0,36.0,36.0,35.0,30.0,35.0,27.0,34.0,28.607268519971342,31.0,32.0
1980-03-04,34.0,27.0,31.0,37.0110519264275,37.0,35.0,21.0,30.0,26.0,36.0,40.0,34.0,30.0,34.0,20.0,42.0,33.0,37.0,31.0,34.0,30.0,34.0,29.62741782076935,33.0,28.0
1980-03-05,31.0,23.0,29.0,36.009194572883494,36.0,32.0,28.0,29.0,25.0,34.0,31.0,31.0,30.0,32.0,21.0,32.0,33.0,33.0,31.0,29.0,29.0,31.0,29.62741782076935,30.0,25.0
1980-03-06,28.0,23.0,29.0,26.99247839098746,27.0,26.0,21.0,26.0,22.0,31.0,26.0,29.0,25.0,27.0,8.0,28.0,26.0,29.0,26.0,23.0,29.0,25.0,24.526671316779314,30.0,16.0
1980-03-07,25.0,13.0,14.0,25.990621037443457,26.0,27.0,18.0,9.0,17.0,23.0,31.0,9.0,14.0,25.0,8.0,22.0,25.0,26.0,24.068277033926137,22.0,17.980224849495986,24.0,22.55602548360361,15.0,17.0
1980-03-08,26.0,13.0,15.0,23.986906330355453,24.0,26.0,14.0,16.0,19.0,27.0,25.0,21.0,18.0,28.0,7.0,24.34101437687013,23.0,29.0,23.0,20.0,18.0,26.0,21.46622341438529,24.0,8.0
1980-03-09,29.0,13.0,16.0,27.994335744531465,28.0,27.0,21.0,22.0,16.0,28.0,24.0,28.0,24.0,28.0,8.0,32.0,26.0,31.0,25.0,24.0,21.0,29.0,23.506522015981307,28.0,21.0
